SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG
10178,ERCOT,ONCOR,,67,10178,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,178,Y
10179,ERCOT,ONCOR,,68,10179,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,179,Y
10180,ERCOT,ONCOR,,69,10180,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,180,Y
10181,ERCOT,ONCOR,,70,10181,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,181,Y
10182,ERCOT,ONCOR,,71,10182,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,182,Y
10183,ERCOT,ONCOR,,72,10183,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,183,Y
10184,ERCOT,ONCOR,,74,10184,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,184,Y
10185,ERCOT,ONCOR,,75,10185,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,185,Y
10186,ERCOT,ONCOR,,76,10186,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,186,Y
10187,ERCOT,ONCOR,,78,10187,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,187,Y
10188,ERCOT,ONCOR,,80,10188,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,188,Y
10189,ERCOT,ONCOR,,82,10189,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,189,Y
10190,ERCOT,ONCOR,,84,10190,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,190,Y
10191,ERCOT,ONCOR,,86,10191,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,191,Y
10192,ERCOT,ONCOR,,88,10192,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,192,Y
10193,ERCOT,ONCOR,,89,10193,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,193,Y
10194,ERCOT,ONCOR,,90,10194,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,194,Y
10195,ERCOT,ONCOR,,91,10195,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,195,Y
10196,ERCOT,ONCOR,,92,10196,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,196,Y
10197,ERCOT,ONCOR,,93,10197,ERCOT,ONCOR,,ERCOT_NM,SCALAR,A,SECONDARY,TX,0,197,Y
