,ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
144,50716,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5817,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
145,50717,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5818,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
146,50718,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5819,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
147,50719,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5820,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
148,50720,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5821,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
149,50721,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5822,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
150,50722,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5823,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
151,50723,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5824,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
152,50724,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5825,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
153,50725,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5826,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
154,50726,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,5827,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
